"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Заказ такси","0","1","Отмена заказа через кнопку 'Отменить'","0"
"0","","0","Заказ тарифа Такси","4","2","Отображение всплывающих подсказок тарифов","0"
"0","","0","Отрисовка блока выбора маршрута","2","0","Отображение блока выбора маршрута","0"
"0","","0","Заказ такси","1","0","Полный флоу заказа такси с проверкой окна ожидания","0"
"0","","0","Отрисовка блока выбора маршрута","2","0","Отображение блока маршрута для одинакового адреса","0"
"0","","0","Подготовка к заказу такси","3","0","Переключение между видами маршрута","0"
"0","","0","Отрисовка маршрута","2","0","Отображение точек маршрута на карте","0"
"0","","0","Заказ такси","1","0","Полный флоу заказа такси с проверка окна завершенного заказа","0"
"0","","0","Подготовка к заказу такси","2","0","Активность кнопок заказа","0"
"0","","0","Заказ тарифа Такси","1","0","Отображение формы заказа","0"
"0","","0","Заказ такси","1","0","Проверка стоимости в деталях заказа","0"
"0","","0","Заказ тарифа Такси","1","0","Отображение полей формы заказа","0"
