"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","96746","test_taxi_order_flow_cancel","tests","Thu May 01 01:27:15 GET 2025","skipped","Thu May 01 01:28:52 GET 2025","TestTaxiOrderFlow","test_taxi_order_flow","",""
"","768","Тариф: Отпускной","tests","Thu May 01 01:24:09 GET 2025","passed","Thu May 01 01:24:09 GET 2025","TestTaxiOrder","test_taxi_order","",""
"","648","Стартовая точка: Зубовский бульвар, 37, Конечная точка: Хамовнический вал, 34","tests","Thu May 01 01:20:44 GET 2025","passed","Thu May 01 01:20:44 GET 2025","TestRouteOptionsDisplay","test_route_options_display","",""
"","766","Тариф: Разговорчивый","tests","Thu May 01 01:24:17 GET 2025","skipped","Thu May 01 01:24:18 GET 2025","TestTaxiOrder","test_taxi_order","",""
"","975","test_taxi_order_flow_waiting_screen","tests","Thu May 01 01:25:50 GET 2025","passed","Thu May 01 01:25:51 GET 2025","TestTaxiOrderFlow","test_taxi_order_flow","",""
"","1156","Адрес: Хамовнический вал, 34","tests","Thu May 01 01:20:50 GET 2025","passed","Thu May 01 01:20:51 GET 2025","TestRouteOptionsDisplay","test_route_options_display","",""
"","861","Проверка переключения на вид маршрута ""Свой""","tests","Thu May 01 01:31:09 GET 2025","passed","Thu May 01 01:31:10 GET 2025","TestTaxiOrderPreparation","test_taxi_order_preparation","",""
"","1597","Стартовая точка: Зубовский бульвар, 37, Конечная точка: Хамовнический вал, 34","tests","Thu May 01 01:20:07 GET 2025","passed","Thu May 01 01:20:09 GET 2025","TestRouteDisplay","test_route_display","",""
"","554","Тариф: Глянцевый","tests","Thu May 01 01:24:33 GET 2025","passed","Thu May 01 01:24:34 GET 2025","TestTaxiOrder","test_taxi_order","",""
"","1599","Стартовая точка: Хамовнический вал, 34, Конечная точка: Зубовский бульвар, 37","tests","Thu May 01 01:20:00 GET 2025","passed","Thu May 01 01:20:01 GET 2025","TestRouteDisplay","test_route_display","",""
"","29989","test_taxi_order_flow_completion_screen","tests","Thu May 01 01:25:59 GET 2025","passed","Thu May 01 01:26:29 GET 2025","TestTaxiOrderFlow","test_taxi_order_flow","",""
"","765","Тариф: Сонный","tests","Thu May 01 01:23:52 GET 2025","skipped","Thu May 01 01:23:52 GET 2025","TestTaxiOrder","test_taxi_order","",""
"","1128","Проверка активности кнопки ""Забронировать"" для типа передвижения ""Драйв""","tests","Thu May 01 01:31:24 GET 2025","passed","Thu May 01 01:31:25 GET 2025","TestTaxiOrderPreparation","test_taxi_order_preparation","",""
"","984","test_taxi_order_tariffs_check","tests","Thu May 01 01:23:36 GET 2025","passed","Thu May 01 01:23:37 GET 2025","TestTaxiOrder","test_taxi_order","",""
"","765","Тариф: Утешительный","tests","Thu May 01 01:24:25 GET 2025","passed","Thu May 01 01:24:26 GET 2025","TestTaxiOrder","test_taxi_order","",""
"","572","Стартовая точка: Хамовнический вал, 34, Конечная точка: Зубовский бульвар, 37","tests","Thu May 01 01:20:37 GET 2025","passed","Thu May 01 01:20:38 GET 2025","TestRouteOptionsDisplay","test_route_options_display","",""
"","1057","Адрес: Зубовский бульвар, 37","tests","Thu May 01 01:20:57 GET 2025","passed","Thu May 01 01:20:58 GET 2025","TestRouteOptionsDisplay","test_route_options_display","",""
"","867","Проверка переключения между ""Оптимальный"" и ""Быстрый"" маршрутами","tests","Thu May 01 01:30:54 GET 2025","passed","Thu May 01 01:30:55 GET 2025","TestTaxiOrderPreparation","test_taxi_order_preparation","",""
"","876","Проверка переключения между ""Быстрый"" и ""Оптимальный"" маршрутами","tests","Thu May 01 01:31:01 GET 2025","passed","Thu May 01 01:31:02 GET 2025","TestTaxiOrderPreparation","test_taxi_order_preparation","",""
"","29590","test_taxi_order_flow_details","tests","Thu May 01 01:26:38 GET 2025","passed","Thu May 01 01:27:07 GET 2025","TestTaxiOrderFlow","test_taxi_order_flow","",""
"","527","Тариф: Рабочий","tests","Thu May 01 01:23:44 GET 2025","passed","Thu May 01 01:23:44 GET 2025","TestTaxiOrder","test_taxi_order","",""
"","1352","test_order_form_fields","tests","Thu May 01 01:24:40 GET 2025","passed","Thu May 01 01:24:42 GET 2025","TestTaxiOrder","test_taxi_order","",""
"","330","Проверка активности кнопки ""Вызвать такси"" для маршрута ""Быстрый""","tests","Thu May 01 01:31:18 GET 2025","passed","Thu May 01 01:31:18 GET 2025","TestTaxiOrderPreparation","test_taxi_order_preparation","",""
